id	enabled	display_context	source	donor	prefix	replacement	display_basis	source_ref	donor_ref	mode	capacity	transform	arguments	reference_refs	parent_mapping_id
T15	1	Battle or Practice Settings > label or running help	<r方向|ほうこう>キー<r左右|さゆう>でハンディキャップの<r設定|せってい>ができます。　　　　　<r赤|あか>いマークが<r多|おお>いほど、１Ｐが<r有利|ゆうり>。<r逆|ぎゃく>に<r青|あお>いマークが<r多|おお>いと２Ｐが<r有利|ゆうり>な<r設定|せってい>です。	Press the left directional button or right directional button to change handicap. More red marks means a better advantage for 1P. Blue marks are for 2P.			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x20A560	NUN5_TEXTENG@0xF7A0	slot	256				
T16	1	Battle or Practice Settings > label or running help	<r対戦設定|たいせんせってい>をデフォルトに<r戻|もど>しました。	Battle Settings returned to defaults.			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x20A680	NUN5_TEXTENG@0xF260	slot	68				
T17	1	Battle or Practice Settings > label or running help	連係攻撃	Linked Attack			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x20A748	NUN5_TEXTENG@0xF08	slot	16				
T18	1	Battle or Practice Settings > label or running help	連係モード	Linked Mode			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x20A758	NUN5_TEXTENG@0x1E60	slot	16				
T19	1	Battle or Practice Settings > label or running help	コマンド表示	Commands			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x20A768	NUN5_TEXTENG@0x893	slot	16				
T20	1	Battle or Practice Settings > label or running help	ダメージ量表示	Damage			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x20A778	NUN5_SLES@0x5142E8	slot	16				
T21	1	Battle or Practice Settings > label or running help	<r対戦|たいせん><r相手|あいて>の<r状態|じょうたい>を<r指定|してい>できます。ＣＯＭでは、コンピュータと<r対戦|たいせん>する<r事|こと>ができます。	You can battle against the computer when in COM mode.			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x20B170	NUN5_TEXTENG@0xFFE0	slot	160				
T22	1	Battle or Practice Settings > label or running help	<r対戦|たいせん><r相手|あいて>の<r状態|じょうたい>を<r指定|してい>できます。<r立|た>ちでは、<r立|た>った<r状態|じょうたい>で<r下記|かき>で<r指定|してい>した<r行動|こうどう>をします。	COM will make the following standing movements when in Stand mode.			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x20B210	NUN5_TEXTENG@0x10020	slot	192				
T23	1	Battle or Practice Settings > label or running help	<r対戦|たいせん><r相手|あいて>の<r状態|じょうたい>を<r指定|してい>できます。ジャンプでは、ジャンプしながら<r下記|かき>で<r指定|してい>した<r行動|こうどう>をします。	COM will make the following standing movements when in Jump mode.			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x20B2D0	NUN5_TEXTENG@0x10070	slot	176				
T24	1	Battle or Practice Settings > label or running help	<r対戦|たいせん><r相手|あいて>の<r状態|じょうたい>を<r指定|してい>できます。<r二段|にだん>ジャンプでは、<r二段|にだん>ジャンプしながら<r下記|かき>で<r指定|してい>した<r行動|こうどう>をします。	COM will make the following standing movements when in Jump mode.			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x20B380	NUN5_TEXTENG@0x10070	slot	208				
T25	1	Battle or Practice Settings > label or running help	対戦相手の設定	Opponent Settings			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x20B468	NUN5_TEXTENG@0xF920	slot	24				
T26	1	Battle or Practice Settings > label or running help	<r練習設定|れんしゅうせってい>をデフォルトに<r戻|もど>しました。	Practice settings returned to defaults.			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x20B4D0	NUN5_TEXTENG@0xF940	slot	72				
T27	1	Battle or Practice Settings > selector value	楽々	Simple			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505B48	NUN5_SLES@0x514218	slot	8				
T28	1	Battle or Practice Settings > selector value	ふつう	Normal			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505B50	NUN5_SLES@0x514228	slot	8				
T29	1	Battle or Practice Settings > selector value	激むず	Insane			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505B58	NUN5_SLES@0x514238	slot	8				
T30	1	Battle or Practice Settings > selector value	究極			Ultimate	inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505B60		slot	8			NA2_BTL@0x209CB4	
T31	1	Battle or Practice Settings > selector value	なし	None			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505B68	NUN5_SLES@0x514240	slot	8				
T32	1	Battle or Practice Settings > selector value	少なめ	Less			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505B70	NUN5_SLES@0x514248	slot	8				
T33	1	Battle or Practice Settings > selector value	多め	More			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505B78	NUN5_SLES@0x514250	slot	8				
T34	1	Battle or Practice Settings > selector value	通常	Normal			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505B80	NUN5_SLES@0x4B9519	slot	8				
T35	1	Battle or Practice Settings > selector value	回転	Turn			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505B98	NUN5_SLES@0x514278	slot	8				
T36	1	Battle or Practice Settings > selector value	連打	Combo			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505BA0	NUN5_SLES@0x4AFE80	slot	8				
T37	1	Battle or Practice Settings > selector value	オフ	OFF			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505BB0	NUN5_SLES@0x513E6C	slot	8				
T38	1	Battle or Practice Settings > selector value	オン	ON			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505BB8	NUN5_SLES@0x513E68	slot	8				
T39	1	Battle or Practice Settings > selector value	半分	Half			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505BC8	NUN5_SLES@0x514280	slot	8				
T40	1	Battle or Practice Settings > selector value	オート	Auto			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505BE0	NUN5_SLES@0x513F18	slot	8				
T41	1	Battle or Practice Settings > selector value	手動	Manual			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505BF0	NUN5_SLES@0x513F10	slot	8				
T42	1	Battle or Practice Settings > selector value	ＣＯＭ	COM			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505BF8	NUN5_SLES@0x514290	slot	8				
T43	1	Battle or Practice Settings > selector value	立ち	Stand			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505C00	NUN5_SLES@0x514298	slot	8				
T44	1	Battle or Practice Settings > selector value	しない	No			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505C08	NUN5_SLES@0x513E4C	slot	8				
T45	1	Battle or Practice Settings > selector value	単発	Single			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505C10	NUN5_SLES@0x5142A0	slot	8				
T46	1	Battle or Practice Settings > selector value	コンボ	Combo			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505C18	NUN5_SLES@0x4AFE80	slot	8				
T47	1	Battle or Practice Settings > selector value	忍術	Jutsu			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505C28	NUN5_SLES@0x5142A8	slot	8				
T48	1	Battle or Practice Settings > selector value	する	Use			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505C30	NUN5_SLES@0x51425B	slot	8				
T49	1	Battle or Practice Settings > selector value	追う	Follow			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505C40	NUN5_SLES@0x5142B8	slot	8				
T50	1	Battle or Practice Settings > selector value	難易度	Difficulty			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505C70	NUN5_TEXTENG@0xF880	slot	8			NA2_BTL@0x20A264	
T51	1	Battle or Practice Settings > selector value	体力	Health			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505CA0	NUN5_SLES@0x5142E0	slot	8				
T52	1	Battle or Practice Settings > selector value	状態	Status			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505CA8	NUN5_SLES@0x4AFF1D	slot	8				
T53	1	Battle or Practice Settings > selector value	攻撃	Attack			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505CB8	NUN5_SLES@0x513EF0	slot	8				
T54	1	Battle or Practice Settings > selector value	ガード	Guard			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505CC0	NUN5_SLES@0x4AFD6D	slot	8				
T55	1	Battle or Practice Settings > selector value	行動	Move			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505CC8	NUN5_SLES@0x5142F8	slot	8				
T56	1	Battle or Practice Settings > unlimited-time value	無限	Unlimited			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_SLPS@0x505B88	NUN5_TEXTENG@0xF218	slot	8			NA2_SLPS@0x505B94,NA2_SLPS@0x505BAC,NA2_SLPS@0x505C68	
T57	1	Battle pause menu > menu item	<r操作設定|そうさせってい>	Controls			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x208A30	NUN5_TEXTENG@0x870	slot	32				
T58	1	Battle pause menu > menu item	<r基本操作|きほんそうさ>コマンド<r表|ひょう>	Command Chart			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x208A50	NUN5_TEXTENG@0x880	slot	48				
T59	1	Battle pause menu > menu item	１Ｐコマンド<r表|ひょう>	1P Commands			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x208A80	NUN5_TEXTENG@0x890	slot	32				
T60	1	Battle pause menu > menu item	２Ｐコマンド<r表|ひょう>	2P Commands			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x208AA0	NUN5_TEXTENG@0x8A0	slot	32				
T61	1	Battle pause menu > menu item	<r練習設定|れんしゅうせってい>	Practice			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x208AF0	NUN5_TEXTENG@0x718	slot	32				
T62	1	Battle pause menu > menu item	かんたん<r表示|ひょうじ><r設定|せってい>	Simple Display			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x208B10	NUN5_TEXTENG@0x8B0	slot	48				
T63	1	Battle pause menu > quit or return confirmation	<r対戦|たいせん>	Are you sure you want to quit %1 and return to %2?			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x208CF0	NUN5_TEXTENG@0xA20	slot	32	format_literal_prefix_arg2	arg1=Free Battle	NA2_BTL@0x208E40	
T64	1	Battle pause menu > quit or return confirmation	<r練習|れんしゅう>	Are you sure you want to quit %1 and return to %2?			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x208D10	NUN5_TEXTENG@0xA20	slot	32	format_literal_prefix_arg2	arg1=Practice	NA2_BTL@0x208E44	
T65	1	Battle pause menu > quit or return confirmation	"を<r終了|しゅうりょう>しますが、よろしいですか？
<iconCANCEL>キャンセル"	Do you want to quit %1?			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x208D30	NUN5_TEXTENG@0xA00	slot	80	format_literal_arg1	arg1=Free Battle	NA2_BTL@0x208E48	
T66	1	Battle pause menu > quit or return confirmation	を<r終了|しゅうりょう>して	Are you sure you want to quit %1 and return to %2?			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x208D80	NUN5_TEXTENG@0xA20	slot	32	between_placeholders			
T67	1	Battle pause menu > quit or return confirmation	"に<r戻|もど>りますが、
よろしいですか？　　　　<iconCANCEL>キャンセル"	Are you sure you want to quit %1 and return to %2?			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x208DF0	NUN5_TEXTENG@0xA20	slot	80	after_placeholder2			
T68	1	Battle pause menu > return destination	ゲームモード<r選択|せんたく>に<r戻|もど>る	Back to Game Mode Screen			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x208BB0	NUN5_TEXTENG@0x900	slot	48				
T69	1	Battle pause menu > return destination	キャラクター<r選択|せんたく>に<r戻|もど>る	Back to Character Select			inferred:replacement-pass-2-2026-07-26 selector or running-help family	NA2_BTL@0x208BE0	NUN5_TEXTENG@0x920	slot	48				
T70	1	Battle Results > Ninja Song objective or bonus	<r敵|てき>は<r忍術|にんじゅつ>にて<r攻|せ>めるべし	Attack the enemy with Ninjutsu			seen:savestates-091-099	NA2_BTL@0x1E5550	NUN5_TEXTENG@0x10120	slot	64				
T71	1	Battle Results > Ninja Song objective or bonus	<r敵|てき>は<r奥義|おうぎ>にて<r攻|せ>めるべし	Attack the enemy with Ultimate Jutsu			seen:savestates-091-099	NA2_BTL@0x1E5590	NUN5_TEXTENG@0x10140	slot	48				
T72	1	Battle Results > Ninja Song objective or bonus	<r敵|てき>は<r連係攻撃|れんけいこうげき>にて<r攻|せ>めるべし	Attack the enemy with Linked attacks			seen:savestates-091-099	NA2_BTL@0x1E55C0	NUN5_TEXTENG@0x10170	slot	64				
T73	1	Battle Results > Ninja Song objective or bonus	<r変|か>わり<r身|み>にて<r敵|てき>を<r欺|あざむ>くべし	Deceive the enemy using Substitution Jutsu			seen:savestates-091-099	NA2_BTL@0x1E5600	NUN5_TEXTENG@0x101A0	slot	64				
T74	1	Battle Results > Ninja Song objective or bonus	<r追|お>い<r討|う>ちにて<r敵|てき>を<r追撃|ついげき>すべし	Pursue the enemy with Extra Hit attacks 			seen:savestates-091-099	NA2_BTL@0x1E5640	NUN5_TEXTENG@0x101D0	slot	64				
T75	1	Battle Results > Ninja Song objective or bonus	<r連続|れんぞく><r攻撃|こうげき>にて<r敵|てき>を<r圧倒|あっとう>するべし	Overwhelm the enemy with consecutive attacks			seen:savestates-091-099	NA2_BTL@0x1E5680	NUN5_TEXTENG@0x10200	slot	80				
T76	1	Battle Results > Ninja Song objective or bonus	<r特殊忍具|とくしゅにんぐ>を<r用|もち>いて<r攻|せ>めるべし	Attack with Special Ninja Tool			seen:savestates-091-099	NA2_BTL@0x1E56D0	NUN5_TEXTENG@0x10230	slot	64				
T77	1	Battle Results > Ninja Song objective or bonus	<r敵|てき>は<r素早|すばや>く<r排除|はいじょ>すべし	Defeat the enemy quickly			seen:savestates-091-099	NA2_BTL@0x1E5710	NUN5_TEXTENG@0x10250	slot	64				
T78	1	Battle Results > Ninja Song objective or bonus	<r己|おのれ>の<r体力|たいりょく>は<r温存|おんぞん>すべし	Conserve your health			seen:savestates-091-099	NA2_BTL@0x1E5750	NUN5_TEXTENG@0x10270	slot	64				
T79	1	Battle Results > Ninja Song objective or bonus	<r強者|つわもの>を<r打|う>ち<r破|やぶ>るべし	Defeat a powerful enemy			seen:savestates-091-099	NA2_BTL@0x1E5790	NUN5_TEXTENG@0x10290	slot	48				
T80	1	Battle Results > Ninja Song objective or bonus	<r秘|ひ>めたる<r力|ちから>を<r解|と>き<r放|はな>つべし	Release your hidden power			seen:savestates-091-099	NA2_BTL@0x1E57C0	NUN5_TEXTENG@0x102B0	slot	64				
T81	1	Battle Results > Ninja Song objective or bonus	<r挑発|ちょうはつ>を<r以|も>って<r敵|てき>を<r刺激|しげき>すべし	Taunt the enemy into action			seen:savestates-091-099	NA2_BTL@0x1E5800	NUN5_TEXTENG@0x102D0	slot	80				
T82	1	Battle Results > Ninja Song objective or bonus	<r壊|こわ>れ<r物|もの>を<r破壊|はかい>すべし	Destroy breakable objects			seen:savestates-091-099	NA2_BTL@0x1E5850	NUN5_TEXTENG@0x102F0	slot	48				
T83	1	Battle Results > Ninja Song objective or bonus	<r特殊|とくしゅ><r条件|じょうけん>を<r完遂|かんすい>すべし	Fulfill special objectives			seen:savestates-091-099	NA2_BTL@0x1E5880	NUN5_TEXTENG@0x10310	slot	64				
T84	1	Battle Results > Ninja Song objective or bonus	<r敵|てき>の<r奥義|おうぎ>を<r打|う>ち<r破|やぶ>るべし	Defeat the enemy's Ultimate Jutsu			seen:savestates-091-099	NA2_BTL@0x1E58C0	NUN5_TEXTENG@0x10330	slot	64				
T85	1	Battle Results > Ninja Song objective or bonus	<r術|じゅつ>の<r競|せ>り<r合|あ>いにて<r勝利|しょうり>すべし	Win in a battle of Ninjutsu			seen:savestates-091-099	NA2_BTL@0x1E5900	NUN5_TEXTENG@0x10360	slot	64				
T86	1	Battle Results > Ninja Song objective or bonus	<r敵|てき>に<r残影|ざんえい>をもって<r挑|いど>むべし	Use Shadowblur against the enemy			seen:savestates-091-099	NA2_BTL@0x1E5940	NUN5_TEXTENG@0x10380	slot	64				
T87	1	Battle Results > Ninja Song objective or bonus	コンボ<r数|すう>%sHitボーナス	%1 hit combo bonus			seen:savestates-091-099	NA2_BTL@0x1E5980	NUN5_TEXTENG@0x103B0	slot	32				
T88	1	Battle Results > Ninja Song objective or bonus	<r所持|しょじ>アイテム%s<r個|こ>ボーナス	%1 items carried bonus			seen:savestates-091-099	NA2_BTL@0x1E59A0	NUN5_TEXTENG@0x103D0	slot	48				
T89	1	Battle Results > Ninja Song objective or bonus	<r背景破壊|はいけいはかい>ボーナス	Environment destruction bonus			seen:savestates-091-099	NA2_BTL@0x1E59D0	NUN5_TEXTENG@0x103F0	slot	48				
T90	1	Battle Results > Ninja Song objective or bonus	<r残影勝利|ざんえいしょうり>ボーナス	Shadowblur victory bonus			seen:savestates-091-099	NA2_BTL@0x1E5A00	NUN5_TEXTENG@0x10410	slot	48				
T91	1	Battle Results > Ninja Song objective or bonus	<r奥義|おうぎ>ボーナス	Ultimate Jutsu bonus			seen:savestates-091-099	NA2_BTL@0x1E5A30	NUN5_TEXTENG@0x10430	slot	32				
T92	1	Battle Results > Ninja Song objective or bonus	<r敵|てき>%sカウント<r以内撃破|いないげきは>ボーナス	Enemy defeated within %1 timer counts bonus			seen:savestates-091-099	NA2_BTL@0x1E5A50	NUN5_TEXTENG@0x10450	slot	64				
T93	1	Battle Results > Ninja Song objective or bonus	キャラクター<r組|く>み<r合|あ>わせボーナス	Character combination bonus			seen:savestates-091-099	NA2_BTL@0x1E5AC0	NUN5_TEXTENG@0x104A0	slot	48				
T94	1	Battle Results > Ninja Song objective or bonus	<r特殊連係攻撃|とくしゅれんけいこうげき>%sHitボーナス	%1 hit special linked attack bonus			seen:savestates-091-099	NA2_BTL@0x1E5AF0	NUN5_TEXTENG@0x104C0	slot	64				
T95	1	Battle Results > Ninja Song objective or bonus	<r連係忍術|れんけいにんじゅつ>%sHitボーナス	%1 hit linked Jutsu bonus			seen:savestates-091-099	NA2_BTL@0x1E5B30	NUN5_TEXTENG@0x104F0	slot	48				
T96	1	Battle Results > Ninja Song objective or bonus	<r連係奥義|れんけいおうぎ>%sHitボーナス	%1 hit linked Ultimate Jutsu bonus			seen:savestates-091-099	NA2_BTL@0x1E5B60	NUN5_TEXTENG@0x10510	slot	48				
T97	1	Battle Results > Ninja Song objective or bonus	カウント	timer counts			seen:savestates-091-099	NA2_BTL@0x1E5BC0	NUN5_TEXTENG@0x10538	slot	16				
T2174	1	Battle Results > Ninja Song objective or bonus	　　壱	 1			seen:ss1-5-paired-Ninja-Song	NA2_SLPS@0x504CC0	NUN5_SLES@0x512070	slot	8	append_space			
T2175	1	Battle Results > Ninja Song objective or bonus	　　弐	 2			seen:ss1-5-paired-Ninja-Song	NA2_SLPS@0x504CC8	NUN5_SLES@0x512074	slot	8	append_space			
T2176	1	Battle Results > Ninja Song objective or bonus	　　参	 3			seen:ss1-5-paired-Ninja-Song	NA2_SLPS@0x504CD0	NUN5_SLES@0x512078	slot	8	append_space			
T2177	1	Battle Results > Ninja Song objective or bonus	　　四	 4			seen:ss1-5-paired-Ninja-Song	NA2_SLPS@0x504CD8	NUN5_SLES@0x51207C	slot	8	append_space			
T2178	1	Battle Results > Ninja Song objective or bonus	　　五	 5			seen:ss1-5-paired-Ninja-Song	NA2_SLPS@0x504CE0	NUN5_SLES@0x512080	slot	8	append_space			
T2179	1	Battle Results > Ninja Song objective or bonus	　　六	 6			seen:ss1-5-paired-Ninja-Song	NA2_SLPS@0x504CE8	NUN5_SLES@0x512084	slot	8	append_space			
T2180	1	Battle Results > Ninja Song objective or bonus	　　七	 7			seen:ss1-5-paired-Ninja-Song	NA2_SLPS@0x504CF0	NUN5_SLES@0x512088	slot	8	append_space			
T2181	1	Battle Results > Ninja Song objective or bonus	　　八	 8			seen:ss1-5-paired-Ninja-Song	NA2_SLPS@0x504CF8	NUN5_SLES@0x51208C	slot	8	append_space			
T2182	1	Battle Results > Ninja Song objective or bonus	　　九	 9			seen:ss1-5-paired-Ninja-Song	NA2_SLPS@0x504D00	NUN5_SLES@0x512090	slot	8	append_space			
T2183	1	Battle Results > Ninja Song objective or bonus	　　十	10			seen:ss1-5-paired-Ninja-Song	NA2_SLPS@0x504D08	NUN5_SLES@0x512094	slot	8	append_space			
T2184	1	Battle Results > Ninja Song objective or bonus	　十一	11			seen:ss1-5-paired-Ninja-Song	NA2_SLPS@0x504D10	NUN5_SLES@0x512098	slot	8	append_space			
T2185	1	Battle Results > Ninja Song objective or bonus	　十二	12			seen:ss1-5-paired-Ninja-Song	NA2_SLPS@0x504D18	NUN5_SLES@0x51209C	slot	8	append_space			
T2186	1	Battle Results > Ninja Song objective or bonus	　十三	13			seen:ss1-5-paired-Ninja-Song	NA2_SLPS@0x504D20	NUN5_SLES@0x5120A0	slot	8	append_space			
T2187	1	Battle Results > Ninja Song objective or bonus	　十四	14			seen:ss1-5-paired-Ninja-Song	NA2_SLPS@0x504D28	NUN5_SLES@0x5120A4	slot	8	append_space			
T2188	1	Battle Results > Ninja Song objective or bonus	　十五	15			seen:ss1-5-paired-Ninja-Song	NA2_SLPS@0x504D30	NUN5_SLES@0x5120A8	slot	8	append_space			
T2189	1	Battle Results > Ninja Song objective or bonus	　十六	16			seen:ss1-5-paired-Ninja-Song	NA2_SLPS@0x504D38	NUN5_SLES@0x5120AC	slot	8	append_space			
T2190	1	Battle Results > Ninja Song objective or bonus	なし	N/A			seen:ss1-5-paired-Ninja-Song	NA2_SLPS@0x504DB0	NUN5_SLES@0x514308	slot	8				
T2191	1	Battle Results > Ninja Song objective or bonus	<r発|はつ>	times			seen:ss1-5-paired-Ninja-Song	NA2_BTL@0x1E5BB0	NUN5_SLES@0x514310	slot	16	empty			
T2192	1	Battle Results > Ninja Song objective or bonus	<r回|かい>	hits			seen:ss1-5-paired-Ninja-Song	NA2_BTL@0x1E5BA0	NUN5_SLES@0x514318	slot	16	empty			
T2193	1	Battle Results > Ninja Song objective or bonus	<r個|こ>	Destroy breakable objects			seen:ss1-5-paired-Ninja-Song	NA2_BTL@0x1E5BD0	NUN5_TEXTENG@0x102F0	slot	16	empty			
T2194	1	Battle Results > Ninja Song objective or bonus	<r体力|たいりょく>１００％ボーナス	100% Health bonus		100%% Health bonus	seen:ss10-paired-Ninja-Song	NA2_BTL@0x1E5A90	NUN5_TEXTENG@0x10480	slot	48				
T2195	1	Battle Results > Ninja Song objective or bonus	" × "	" * "			seen:ss7-9-paired-Ninja-Song	NA2_SLPS@0x504DA0	NUN5_SLES@0x514300	slot	8				
T2196	1	Battle Results > Ninja Song objective or bonus	" ＝ "	" = "			seen:ss7-9-paired-Ninja-Song	NA2_SLPS@0x504DA8	NUN5_SLES@0x514304	slot	8				
T2197	1	Battle Results > Ninja Song objective or bonus	･	·		.	seen:ss7-9-paired-Ninja-Song	NA2_SLPS@0x504DB8	NUN5_SLES@0x51430C	slot	8				
T2198	1	Battle Results > Ninja Song objective or bonus	％	%			seen:ss7-9-paired-Ninja-Song	NA2_SLPS@0x504DC0	NUN5_SLES@0x514320	slot	4				
T98	1	Character menus > Ultimate Jutsu name	<r朝孔雀|あさくじゃく>	Morning Peacock			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x26180	NUN5_TEXTENG@0x33B0	slot	24				
T99	1	Character menus > Ultimate Jutsu name	<r忍法|にんぽう>・<r影縫|かげぬ>い	Ninja Art: Shadow Sew			seen:tid-pass-2026-07-26 paired screenshot	NA2_ETC@0x26210	NUN5_TEXTENG@0x3410	slot	40				
