patch_id	group_id	default_enabled	status	confidence	name	description	source_mapping_id	runtime_classification	review_notes
BTL-M016	battle_ui	1	approved_for_test	medium	BTL-owned battle-adjacent UI/state input range.	Likely battle setup, pause, result, tutorial, mission, or other BTL-owned menu. Exact runtime screen is unclassified; gameplay-input overlap must be ruled out.	BTL-M016		BTL may share these state fields with gameplay. Runtime screen classification is mandatory before approval. | No same-range literal partner identified; correlate with the runtime screen before approval.
BTL-M017	battle_ui	1	approved_for_test	medium	BTL-owned battle-adjacent UI/state input range.	Likely battle setup, pause, result, tutorial, mission, or other BTL-owned menu. Exact runtime screen is unclassified; gameplay-input overlap must be ruled out.	BTL-M017		BTL may share these state fields with gameplay. Runtime screen classification is mandatory before approval. | No same-range literal partner identified; correlate with the runtime screen before approval.
BTL-M018	battle_ui	1	approved_for_test	medium	BTL-owned battle-adjacent UI/state input range.	Likely battle setup, pause, result, tutorial, mission, or other BTL-owned menu. Exact runtime screen is unclassified; gameplay-input overlap must be ruled out.	BTL-M018		BTL may share these state fields with gameplay. Runtime screen classification is mandatory before approval. | No same-range literal partner identified; correlate with the runtime screen before approval.
BTL-M019	battle_ui	1	runtime_proven	high	Pause command overlay handler (ccStartMenuPrivateCmd).	Shared Practice and Free Battle command-list and command-chart controller. The complete regional function alignment rotates entry/player routing from Circle to Cross and close from Cross to Triangle without changing battle-input encoding.	BTL-M019	practice_free_battle_command_overlays	Runtime screenshots isolated both remaining failures to the two ccStartMenuPrivateCmd views. Complete-function comparison maps the reordered NUN5 branches structurally rather than by face-mask ordinal.
BTL-M020	battle_ui	1	approved_for_test	high	BTL-owned battle-adjacent UI/state input range.	Likely battle setup, pause, result, tutorial, mission, or other BTL-owned menu. Exact runtime screen is unclassified; gameplay-input overlap must be ruled out.	BTL-M020		BTL may share these state fields with gameplay. Runtime screen classification is mandatory before approval. | Review/apply as a handler set with BTL-P040. | Review/apply as a handler set with BTL-P041.
BTL-M021	battle_ui	1	approved_for_test	high	BTL-owned battle-adjacent UI/state input range.	Likely battle setup, pause, result, tutorial, mission, or other BTL-owned menu. Exact runtime screen is unclassified; gameplay-input overlap must be ruled out.	BTL-M021		BTL may share these state fields with gameplay. Runtime screen classification is mandatory before approval. | Review/apply as a handler set with BTL-P042. | Review/apply as a handler set with BTL-P043.
ELF-M001	front_end	1	approved_for_test	high	Save/load and memory-card parent controller.	Multi-state save/load subsystem controller with six confirm-only branches.	ELF-M001	Independent runtime test produced no changes anywhere in the tested title/load/save matrix.	The combined M001/M002/M003 test changed load/save menu selection and confirm-save, so M001 may still participate in a multi-handler input path. Do not enable alone or classify as proven.
ELF-M002	front_end	1	approved_for_test	high	Save/load confirmation child handler.	Paired confirm/cancel modal used by the save/load parent controller.	ELF-M002	Independent runtime test produced no changes anywhere in the tested title/load/save matrix.	The combined M001/M002/M003 test changed load/save menu selection and confirm-save, so M002 may still participate in a multi-handler input path. Do not enable alone or classify as proven.
ELF-M003	front_end	1	approved_for_test	high	Save/load acknowledgment child handler.	Confirm-to-close/advance prompt used by the save/load parent controller.	ELF-M003	Independent runtime test produced no changes anywhere in the tested title/load/save matrix.	All three family patches are inert alone while the combined M001/M002/M003 build changed load/save menu selection and confirm-save. Preserve this candidate for later interaction testing; do not enable alone or classify as proven.
ELF-M004	front_end	1	approved_for_test	high	Confirm-gated state transition after an animation/object becomes active.	Front-end transition prompt.	ELF-M004		Complete-function review confirms a frontend transition state machine with no active battle-action handling. Approved only for the broad ELF-only runtime test.
ELF-M005	front_end	1	approved_for_test	high	Player-indexed confirm-gated transition handler.	Multiplayer/front-end transition prompt.	ELF-M005		Complete-function review confirms a player-indexed frontend transition state machine with no active battle-action handling. Approved only for the broad ELF-only runtime test.
ELF-M006	front_end	1	approved_for_test	high	Two-state timed prompt controller with confirm acceleration/advance.	Timed prompt or result/message transition.	ELF-M006		Complete-function review confirms a timed prompt/result transition handler. Apply ELF-P012 and ELF-P013 atomically. Approved only for the broad ELF-only runtime test.
ELF-M007	front_end	1	approved_for_test	high	Player-indexed list/prompt handler with confirm and directional navigation.	Front-end selectable list.	ELF-M007		Complete-function review confirms a player-indexed frontend list/prompt handler with no active battle-action handling. Approved only for the broad ELF-only runtime test.
ELF-M008	front_end	1	runtime_proven	high	Generic selectable-list/modal input decoder. It sets distinct result flags for accept, cancel, and navigation.	Shared selectable-list/modal handler used across major front-end menus.	ELF-M008	Confirmed correct in Collection, Shop, all Free Battle menus, all Practice menus, and the Main Menu leave dialog.	Cross accepts and Triangle cancels correctly in confirmed screens. Save dialog, post-Main-Menu-leave save dialog, and loading remain unchanged and therefore use separate handlers. Master Mode is intentionally out of scope.
ELF-M009	front_end	1	approved_for_test	high	Parent menu state machine wrapping child selectable objects and confirm/cancel transitions.	Front-end selection screen using the generic widget family.	ELF-M009		Complete-function review confirms a parent frontend menu state machine. Apply ELF-P017 and ELF-P018 atomically. Approved only for the broad ELF-only runtime test.
ELF-M010	front_end	1	approved_for_test	high	Controller/button-assignment options handler with reset, confirm, cancel, and directional edits.	Controls/options menu.	ELF-M010		Complete-function review confirms the controller-assignment UI handler. It changes menu confirmation semantics only; stored battle bindings change solely through the user's normal menu choices. Approved only for the broad ELF-only runtime test.
ELF-M011	front_end	1	approved_for_test	high	Two-axis numeric adjustment handler with reset, confirm, cancel, and directional edits.	Position/calibration-style options screen.	ELF-M011		Complete-function review confirms a calibration/options UI handler with no combat-action path. Approved only for the broad ELF-only runtime test.
ELF-M012	front_end	1	approved_for_test	high	Four-way options/submenu handler with confirm/cancel state transitions.	Options or configuration submenu.	ELF-M012		Complete-function review confirms an options/submenu state handler with no combat-action path. Approved only for the broad ELF-only runtime test.
ELF-M013	front_end	1	approved_for_test	high	Numeric/list selector with confirm, cancel, and vertical navigation.	Options/list modal.	ELF-M013		Complete-function review confirms an options/list modal handler with no combat-action path. Approved only for the broad ELF-only runtime test.
ELF-M014	front_end	1	approved_for_test	high	Two-player join/selection state machine; the differing checks are cancel/back actions.	Multiplayer player-join or character-selection UI.	ELF-M014		Complete-function review confirms a two-player join/selection UI; both edits affect cancel/back checks only. Approved only for the broad ELF-only runtime test.
ELF-M015	front_end	1	approved_for_test	high	Five-item selector with confirm, cancel, and cyclic vertical navigation.	Multiplayer/front-end selection list.	ELF-M015		Complete-function review confirms a five-item frontend selector with no combat-action path. Approved only for the broad ELF-only runtime test.
ELF-M016	front_end	1	approved_for_test	high	Save/load confirm-only helper used repeatedly by the parent controller.	Save/load helper prompt.	FRESH-ELF-N001		Fresh independent structural match. Exact NA2 and NUN5 instruction bytes were validated against clean regional ELFs.
ELF-M017	front_end	1	approved_for_test	high	Blocking memory-card/save-load prompt loop with confirm-to-advance behavior.	Save/load or memory-card prompt.	FRESH-ELF-N002		Fresh independent structural match. Exact NA2 and NUN5 instruction bytes were validated against clean regional ELFs.
ELF-M018	front_end	1	approved_for_test	medium	Confirm-to-close overlay rendered inside another front-end object.	Unclassified front-end overlay.	FRESH-ELF-N003		Fresh independent structural match. Runtime screen remains unclassified; keep separately selectable.
ELF-M019	front_end	1	approved_for_test	high	Two-player multi-action front-end input decoder with distinct navigation, accept, cancel, and Start actions.	Free/Practice setup or selection controller.	FRESH-ELF-N004		Fresh independent structural match. Apply ELF-P034, ELF-P035, and ELF-P036 atomically.
ELF-M020	front_end	1	approved_for_test	high	Second controller-assignment subhandler used for both players.	Control Settings.	FRESH-ELF-N005		Fresh independent structural match. Apply ELF-P037 and ELF-P038 atomically.
ELF-M021	front_end	1	approved_for_test	high	Sound Settings handler with accept, rollback/cancel, reset, and directional edits.	Sound Settings.	FRESH-ELF-N006		Fresh independent structural match. Apply ELF-P039 and ELF-P040 atomically.
ELF-M022	front_end	1	approved_for_test	medium	Timed confirm-to-advance state after a short input delay.	Unclassified proceed/result prompt.	FRESH-ELF-N007		Fresh independent structural match. Runtime screen remains unclassified; keep separately selectable.
ELF-M023	front_end	1	approved_for_test	high	Two-item front-end/setup submenu with cyclic navigation, accept, and cancel.	Free/Practice setup submenu.	FRESH-ELF-N008		Fresh independent structural match. Apply ELF-P042 and ELF-P043 atomically.
ELF-M024	front_end	1	approved_for_test	high	Shared two-choice Yes/No modal handler with accept, cancel, and directional selection.	Save/load, overwrite, and return-to-title confirmation prompts.	FRESH-ELF-N009		Fresh complete-function comparison: NA2 FUN_001e6ce0 uses Circle accept and Cross cancel; NUN5 FUN_001ecad0 uses Cross accept and Triangle cancel. Apply ELF-P044 and ELF-P045 atomically.
ELF-M025	front_end	1	approved_for_test	high	Title-screen state controller with combined Start, accept, and cancel masks.	Title zoom/advance and New Game/Continue title flow.	FRESH-ELF-N010		Fresh complete-function comparison: NA2 FUN_001df690 uses Start|Circle and Start|Circle|Cross; NUN5 FUN_001e5300 uses Start|Cross and Start|Cross|Triangle. Apply ELF-P046 and ELF-P047 atomically.
ELF-M026	front_end	1	approved_for_test	high	Per-player character and linked-character selection handler with two internal interaction states.	Free Battle and Practice character/linked-character selection.	FRESH-ELF-N011		Fresh complete-function comparison: NA2 FUN_003b5df0 and NUN5 FUN_003c8880 preserve independent controller routing while rotating Circle/Cross/Triangle roles. Square operation2 is unchanged. Apply ELF-P048 through ELF-P053 atomically.
ELF-M027	front_end	1	approved_for_test	high	Title New Game/Continue selector with combined Start and accept input.	Title-screen New Game/Continue list.	FRESH-ELF-N012		Fresh complete-function comparison: NA2 FUN_001df140 uses Start|Circle while NUN5 FUN_001e4d90 uses Start|Cross.
ELF-M028	front_end	1	approved_for_test	high	Per-player support selection handler with two internal interaction states.	Free Battle and Practice support selection.	FRESH-ELF-N013		Fresh complete-function comparison: NA2 FUN_003b6910 and NUN5 FUN_003c9400 rotate accept, cancel, and operation1 in both states while preserving controller routing. Apply ELF-P055 through ELF-P060 atomically.
ETC-M001	etc_ui	1	runtime_proven	high	ETC-owned front-end input decision range. Implements regional accept/cancel or confirm-only behavior.	ETC front-end UI. Runtime confirms ETC ownership in Collection and Shop; the individual screen for this range remains unclassified.	ETC-M001		Exact screen ownership is pending runtime classification; no competing ordinal/register match exists inside ETC. | Review/apply as a handler set with ETC-P001. | Review/apply as a handler set with ETC-P002.
ETC-M002	etc_ui	1	runtime_proven	medium	ETC-owned front-end input decision range. Implements regional accept/cancel or confirm-only behavior.	ETC front-end UI. Runtime confirms ETC ownership in Collection and Shop; the individual screen for this range remains unclassified.	ETC-M002		Exact screen ownership is pending runtime classification; no competing ordinal/register match exists inside ETC. | Review/apply as a handler set with ETC-P003. | Review/apply as a handler set with ETC-P004.
ETC-M003	etc_ui	1	runtime_proven	medium	ETC-owned front-end input decision range. Implements regional accept/cancel or confirm-only behavior.	ETC front-end UI. Runtime confirms ETC ownership in Collection and Shop; the individual screen for this range remains unclassified.	ETC-M003		Exact screen ownership is pending runtime classification; no competing ordinal/register match exists inside ETC. | Review/apply as a handler set with ETC-P005. | Review/apply as a handler set with ETC-P006.
ETC-M004	etc_ui	1	runtime_proven	high	ETC-owned front-end input decision range. Implements regional accept/cancel or confirm-only behavior.	ETC front-end UI. Runtime confirms ETC ownership in Collection and Shop; the individual screen for this range remains unclassified.	ETC-M004		Exact screen ownership is pending runtime classification; no competing ordinal/register match exists inside ETC. | Review/apply as a handler set with ETC-P007. | Review/apply as a handler set with ETC-P008.
ETC-M005	etc_ui	1	runtime_proven	medium	ETC-owned front-end input decision range. Implements regional accept/cancel or confirm-only behavior.	ETC front-end UI. Runtime confirms ETC ownership in Collection and Shop; the individual screen for this range remains unclassified.	ETC-M005		Exact screen ownership is pending runtime classification; no competing ordinal/register match exists inside ETC. | Review/apply as a handler set with ETC-P009. | Review/apply as a handler set with ETC-P010.
ETC-M006	etc_ui	1	runtime_proven	high	ETC-owned front-end input decision range. Includes the regional secondary-action Triangle-to-Square move.	ETC front-end UI. Runtime confirms ETC ownership in Collection and Shop; the individual screen for this range remains unclassified.	ETC-M006		Exact screen ownership is pending runtime classification; no competing ordinal/register match exists inside ETC. | Review/apply as a handler set with ETC-P011. | Review/apply as a handler set with ETC-P012.
ETC-M007	etc_ui	1	runtime_proven	medium	ETC-owned front-end input decision range. Implements regional accept/cancel or confirm-only behavior.	ETC front-end UI. Runtime confirms ETC ownership in Collection and Shop; the individual screen for this range remains unclassified.	ETC-M007		Exact screen ownership is pending runtime classification; no competing ordinal/register match exists inside ETC. | Review/apply as a handler set with ETC-P013. | Review/apply as a handler set with ETC-P014.
ETC-M008	etc_ui	1	runtime_proven	high	ETC-owned front-end input decision range. Implements regional accept/cancel or confirm-only behavior.	ETC front-end UI. Runtime confirms ETC ownership in Collection and Shop; the individual screen for this range remains unclassified.	ETC-M008		Exact screen ownership is pending runtime classification; no competing ordinal/register match exists inside ETC. | Review/apply as a handler set with ETC-P015. | Review/apply as a handler set with ETC-P016.
ETC-M009	etc_ui	1	runtime_proven	high	ETC-owned front-end input decision range. Implements regional accept/cancel or confirm-only behavior.	ETC front-end UI. Runtime confirms ETC ownership in Collection and Shop; the individual screen for this range remains unclassified.	ETC-M009		Exact screen ownership is pending runtime classification; no competing ordinal/register match exists inside ETC. | No same-range literal partner identified; correlate with the runtime screen before approval.
ETC-M010	etc_ui	1	runtime_proven	medium	ETC-owned front-end input decision range. Implements regional accept/cancel or confirm-only behavior.	ETC front-end UI. Runtime confirms ETC ownership in Collection and Shop; the individual screen for this range remains unclassified.	ETC-M010		Exact screen ownership is pending runtime classification; no competing ordinal/register match exists inside ETC. | Review/apply as a handler set with ETC-P018. | Review/apply as a handler set with ETC-P019.
ETC-M011	etc_ui	1	runtime_proven	medium	ETC-owned front-end input decision range. Implements regional accept/cancel or confirm-only behavior.	ETC front-end UI. Runtime confirms ETC ownership in Collection and Shop; the individual screen for this range remains unclassified.	ETC-M011		Exact screen ownership is pending runtime classification; no competing ordinal/register match exists inside ETC. | Review/apply as a handler set with ETC-P020. | Review/apply as a handler set with ETC-P021.
ETC-M012	etc_ui	1	runtime_proven	medium	ETC-owned front-end input decision range. Implements regional accept/cancel or confirm-only behavior.	ETC front-end UI. Runtime confirms ETC ownership in Collection and Shop; the individual screen for this range remains unclassified.	ETC-M012		Exact screen ownership is pending runtime classification; no competing ordinal/register match exists inside ETC. | Review/apply as a handler set with ETC-P022. | Review/apply as a handler set with ETC-P023.
ETC-M013	etc_ui	1	runtime_proven	high	ETC-owned front-end input decision range. Implements regional accept/cancel or confirm-only behavior.	ETC front-end UI. Runtime confirms ETC ownership in Collection and Shop; the individual screen for this range remains unclassified.	ETC-M013		Exact screen ownership is pending runtime classification; no competing ordinal/register match exists inside ETC. | No same-range literal partner identified; correlate with the runtime screen before approval.
ETC-M014	etc_ui	1	runtime_proven	medium	ETC-owned front-end input decision range. Implements regional accept/cancel or confirm-only behavior.	ETC front-end UI. Runtime confirms ETC ownership in Collection and Shop; the individual screen for this range remains unclassified.	ETC-M014		Exact screen ownership is pending runtime classification; no competing ordinal/register match exists inside ETC. | Review/apply as a handler set with ETC-P025. | Review/apply as a handler set with ETC-P026.
ETC-M015	etc_ui	1	runtime_proven	medium	ETC-owned front-end input decision range. Implements regional accept/cancel or confirm-only behavior.	ETC front-end UI. Runtime confirms ETC ownership in Collection and Shop; the individual screen for this range remains unclassified.	ETC-M015		Exact screen ownership is pending runtime classification; no competing ordinal/register match exists inside ETC. | Review/apply as a handler set with ETC-P027. | Review/apply as a handler set with ETC-P028.
ETC-M016	etc_ui	1	runtime_proven	medium	ETC-owned front-end input decision range. Implements regional accept/cancel or confirm-only behavior.	ETC front-end UI. Runtime confirms ETC ownership in Collection and Shop; the individual screen for this range remains unclassified.	ETC-M016		Exact screen ownership is pending runtime classification; no competing ordinal/register match exists inside ETC. | Review/apply as a handler set with ETC-P029. | Review/apply as a handler set with ETC-P030.
ETC-M017	etc_ui	1	runtime_proven	medium	ETC-owned front-end input decision range. Implements regional accept/cancel or confirm-only behavior.	ETC front-end UI. Runtime confirms ETC ownership in Collection and Shop; the individual screen for this range remains unclassified.	ETC-M017		Exact screen ownership is pending runtime classification; no competing ordinal/register match exists inside ETC. | No same-range literal partner identified; correlate with the runtime screen before approval.
ETC-M018	etc_ui	1	runtime_proven	medium	ETC-owned front-end input decision range. Implements regional accept/cancel or confirm-only behavior.	ETC front-end UI. Runtime confirms ETC ownership in Collection and Shop; the individual screen for this range remains unclassified.	ETC-M018		Exact screen ownership is pending runtime classification; no competing ordinal/register match exists inside ETC. | No same-range literal partner identified; correlate with the runtime screen before approval.
ETC-M019	etc_ui	1	runtime_proven	medium	ETC-owned front-end input decision range. Implements regional accept/cancel or confirm-only behavior.	ETC front-end UI. Runtime confirms ETC ownership in Collection and Shop; the individual screen for this range remains unclassified.	ETC-M019		Exact screen ownership is pending runtime classification; no competing ordinal/register match exists inside ETC. | No same-range literal partner identified; correlate with the runtime screen before approval.
BTL-M022	battle_results	1	runtime_proven	high	Battle-results tally fast-forward handler.	During the animated post-battle score and currency calculation, Cross fast-forwards the tally to its final values. The later result-menu proceed handler remains separate.	BTL-M022	battle_results_tally_skip	Slot-2 replay and runtime-only binary search isolated BTL offset 0x00066210. Replacing only its Circle mask 0x20 with Cross mask 0x40 made Cross immediately complete the tally; Circle is retained by the corresponding NUN5 routine and is treated as an upstream oversight.
UI-BTL-001	battle_ui	1	runtime_proven	verified	Use one-part Ultimate Jutsu label	Make the OUGI label constructor instantiate one 128x64 regional label instead of two 64x64 Japanese halves.	UI-OUGI-LAYOUT-001	overlay	The NUN5 one-part behavior is semantically ported into NA2's different compiled loop; the exact replacement instruction does not occur in canonical NUN5 ELF, BTL, ETC, or ADV, so this remains an authored adaptation paired with the whole NUN5 OUGI.CCS import. The user reviewed the completed runtime pass and directed that screens absent from the remaining defect captures be treated as fixed; no OUGI defect remained.
UI-BTL-002	battle_ui	1	approved_for_test	high	Use localized stage-name rectangles and width fitting	Use the official NUN5 stage-name UV table and its 214-pixel horizontal fit rule while preserving NA2's 16-byte stage records.	UI-STAGE-LAYOUT-001	overlay	The stage-ID order and UV source are exact homologs, and the precomputed float scale is algebraically equivalent to NUN5's runtime division. The corrected port keeps vertical scale at 1.0 while loading only the horizontal fit from NA2's inline record. Together with the whole NUN5 MAPSEL1 container, this is statically verified and awaits the user's runtime pass.
UI-ELF-001	front_end	1	runtime_proven	verified	Use localized character-name atlas rectangles	Replace the 96-entry Japanese character-name UV table with the complete official NUN5 English table used by CHARSEL1.CCS and the shared character-name atlases.	UI-CHAR-LAYOUT-001	resident	NUN5 FUN_0038c350 obtains this table through localized accessor FUN_003d45d0; English pointer-table entry 0 resolves to ELF file offset 0x4DDDD0. Of 96 records, 44 already match NA2 and 52 require localization. A guarded live write was read back exactly, and the user verified the full Character Select roster. The rejected 0x4DC120 range is the separate uniform 38x46 portrait-grid table.
UI-ELF-002	front_end	1	runtime_proven	verified	Use localized Options label rectangles	Replace the five Japanese Options-menu and six difficulty-label UV rectangles with the complete official NUN5 English tables used by OPTION.CCS.	UI-OPTION-LAYOUT-001	resident	The live table matched the complete donor block exactly, and the five Options labels plus all four reachable difficulty values rendered with the official English rectangles.
UI-ELF-003	front_end	1	runtime_proven	verified	Route wide difficulty values through the alternate sprite	Match NUN5's Options renderer by using the alternate sprite object for difficulty indices 0, 4, and 5 instead of only 0 and 5.	UI-OPTION-LAYOUT-002	resident	A guarded two-word live write changed the corrupt selected value to a clean centered INSANE label. HARD, EASY, and SIMPLE plus both arrow endpoints were then captured cleanly; the valid index domain is 0..5 and file size is preserved.
UI-BTL-003	battle_ui	1	runtime_proven	verified	Fit localized battle-HUD character names	Cap the battle-HUD character-name display width at 160 pixels, matching NUN5 while preserving the full atlas source rectangle.	UI-BATTLE-NAME-LAYOUT-001	overlay	The official NUN5 renderer applies min(width,160) before the common scale. A guarded live hook in the homologous NA2 path was read back exactly; forcing a 208-pixel source width produced a 160-pixel display width, and restoring the 112-pixel source restored a 112-pixel display width without altering the source rectangle.
